NE ID;END ID;TIPO TOP
GBCT01;SPGIB_0001;NÃO TOP
GBRD01;SPGIB_0002;TOP
GCRD01;SPGCR_0001;NÃO TOP
GDRD01;SPSTG_0001;TOP
GEWL01;SPSGD_0001;NÃO TOP
GFCT01;SPGPI_0001;NÃO TOP
GFRD01;SPGPI_0002;TOP
GGCT01;SPPGI_0001;NÃO TOP
GGRD01;SPPGI_0002;TOP
GHCT01;SPGPA_0001;NÃO TOP
GICT01;SPGIR_0001;NÃO TOP
GJCR01;SPSTS_0001;TOP
GJCT01;SPGJA_0018; NÃO TOP
GJCT02;SPGJA_0001;NÃO TOP
GJCT03;SPGJA_0002;NÃO TOP
GJEN01;SPGJA_0003;TOP
GJEN02;SPGJA_0004;NÃO TOP
GJEN03;SPGJA_0005;TOP
GJJA01;SPGJA_0006;NÃO TOP
GJLP01;SPGJA_0007;NÃO TOP
GJMM03;SPGJA_0010; NÃO TOP
GJPQ01;SPGJA_0011;NÃO TOP
GJQT01;SPGJA_0019; NÃO TOP
GJSA01;SPGJA_0012;TOP
GJSR01;SPGJA_0014;TOP
GKCT02;SPGAI_0002;NÃO TOP
GLCT01;SPGAA_0001;NÃO TOP
GLRD01;SPGAA_0003;TOP
GLRD02;SPGAA_0002;NÃO TOP
GMHE01;SPGRM_0002;NÃO TOP
GMLM01;SPGRM_0003;NÃO TOP
GNCT01;SPGSG_0001;NÃO TOP
GPCT01;SPIPV_0001;NÃO TOP
GQCT01;SPGNT_0001;TOP
GRAG01;SPGRS_0001;NÃO TOP
GRBS01;SPGRS_0002;TOP
GRCB01;SPGRS_0003;NÃO TOP
GRCM01;SPGRS_0004;TOP
GRCM02;SPGRS_0005;TOP
GRCM03;SPGRS_0006;TOP
GRCM04;SPGRS_0007;TOP
GRCM05;SPGRS_0008;TOP
GRCS01;SPGRS_0009;TOP
GRCT01;SPGRS_0010;NÃO TOP
GRIS01;SPGRS_0011;TOP
GRIT01;SPGRS_0043;TOP
GRJA01;SPGRS_0012;TOP
GRJC01;SPGRS_0013;NÃO TOP
GRJD01;SPGRS_0014;NÃO TOP
GRJE01;SPGRS_0015;TOP
GRJI01;SPGRS_0016;NÃO TOP
GRJJ01;SPGRS_0017;TOP
GRJL01;SPGRS_0018;TOP
GRJN01;SPGRS_0019;TOP
GRJO01;RJRJO_0001;NÃO TOP
GRJS01;SPGRS_0021;TOP
GRJT01;SPGRS_0022;NÃO TOP
GRLE01;SPGRS_0042;TOP
GRMA02;SPGRS_0044;NÃO TOP
GRML01;SPGRS_0024;TOP
GRPB01;SPGRS_0025;NÃO TOP
GRPD01;SPGRS_0026;NÃO TOP
GRPH01;SPGRS_0027;NÃO TOP
GR030R;SPGRS_0048;NÃO TOP
GRSA01;SPGRS_0028;NÃO TOP
GRSE01;SPGRS_0029;NÃO TOP
GRSF01;SPGRS_0030;TOP
GRSM01;SPGRS_0031;TOP
GRSR01;SPGRS_0032;NÃO TOP
GRSR02;SPGRS_0033;NÃO TOP
GRVA01;SPGRS_0034;TOP
GRVB01;SPGRS_0035;TOP
GRVC01;SPGRS_0036;NÃO TOP
GRVE01;SPGRS_0037;NÃO TOP
GRVI01;SPGRS_0038;NÃO TOP
GRVL01;SPGRS_0039;NÃO TOP
GRVM01;SPGRS_0040;NÃO TOP
GRVS01;SPGRS_0041;NÃO TOP
GSRD01;SPABB_0002;NÃO TOP
GTNG01;SPGTA_0001;TOP
GTSJ01;SPGTA_0002;NÃO TOP
GTSJ02;SPGTA_0003;TOP
GUCT01;SPCAG_0001;TOP
GURD01;SPCAG_0002;TOP
GVCT01;SPGEI_0001;NÃO TOP
GWCT01;SPGLA_0001;NÃO TOP
GXEB01;SPGAPE0001;TOP
GYCT01;SPGIC_0001;NÃO TOP
GZCT01;SPGTP_0001;TOP
HARD01;SPCHV_0001;TOP
HBLH01;SPHLBA0001;NÃO TOP
HLRD01;SPHED_0001;TOP
HOCT01;SPCTH_0001;NÃO TOP
HPCT01;SPAGT_0001;NÃO TOP
HQCT01;SPCHQ_0001;NÃO TOP
YDSPO1;SPSPO_0447; NÃO TOP
HSPO02;SPSPO_0022; NÃO TOP
HTBN01;SPHORT0001;TOP
HTSR01;SPHORT0003;TOP
HTTB01;SPHORT0004;TOP
HUCT01;SPIPR_0001;TOP
HYCT01;SPARH_0001;NÃO TOP
IAED01;SPITA_0003;TOP
IAMA01;SPITA_0005;NÃO TOP
IAPN01;SPITA_0004;NÃO TOP
IASA01;SPITA_0002;NÃO TOP
IASM01;SPITA_0006;TOP
IATG01;SPITA_0001;NÃO TOP
IBBB01;SPIBL_0001;TOP
IBCT01;SPIBL_0002;NÃO TOP
IBPS01;SPIBL_0003;TOP
ICCT01;SPPRC_0001;NÃO TOP
IDIT01;SPIDU_0001;TOP
IDJG01;SPIDU_0002;NÃO TOP
IDJP01;SPIDU_0003;NÃO TOP
IDMA01;SPIDU_0004;TOP
IERD01;SPIBE_0001;TOP
IFCT01;SPIAK_0001;NÃO TOP
IGCT01;SPIKG_0001;NÃO TOP
IGDP01;SPIKG_0002;NÃO TOP
IHCT01;SPITG_0001;NÃO TOP
IHRD04;SPITG_0005;NÃO TOP
IHRD02;SPITG_0003;NÃO TOP
IHRD03;SPITG_0004;NÃO TOP
IIBV01;SPIGA_0001;TOP
IIFN01;SPIGA_0002;TOP
IIJS01;SPIGA_0003;NÃO TOP
IIRD01;SPIGA_0004;TOP
IIRD05;SPIGA_0005;TOP
IIRD06;SPIGA_0006;TOP
II005R;SPIGA_0010;NÃO TOP
IIVM01;SPIGA_0007;NÃO TOP
IJCT01;SPIJO_0001;NÃO TOP
IKCT01;SPIAG_0001;NÃO TOP
ILCT01;SPILCA0001;NÃO TOP
IMCT01;SPSOM_0001;NÃO TOP
IMRD01;SPSOM_0002;NÃO TOP
INCI01;SPINE_0002;NÃO TOP
INCT01;SPINE_0003;NÃO TOP
INGY01;SPINE_0006;NÃO TOP
INJE01;SPINE_0004;TOP
INJR01;SPINE_0005;TOP
IPJL01;SPITE_0001;TOP
IPJP01;SPITE_0002;TOP
IPMF01;SPITE_0003;TOP
IPNI01;SPITE_0004;TOP
IPNI02;SPITE_0005;NÃO TOP
IPRV01;SPCOA_0007;NÃO TOP
IQBV01;SPIAQ_0001;TOP
IQJI01;SPIAQ_0002;TOP
IQJM01;SPIAQ_0003;TOP
IQMB01;SPIAQ_0004;TOP
IQPV01;SPIAQ_0005;NÃO TOP
IQRM01;SPIAQ_0006;NÃO TOP
IQVJ01;SPIAQ_0007;NÃO TOP
IRBV01;SPIIA_0001;NÃO TOP
IRCT01;SPIIA_0002;NÃO TOP
IRRD01;SPIIA_0004;NÃO TOP
IRVB01;SPIIA_0003;TOP
ISJJ01;SPICS_0001;TOP
ISJP01;SPICS_0002;NÃO TOP
ISPP01;SPICS_0003;TOP
ISRB01;SPICS_0004;NÃO TOP
ISRB02;SPICS_0005;NÃO TOP
ISRP01;SPICS_0006;NÃO TOP
ITHB01;SPITU_0001;TOP
ITMR01;SPITU_0002;NÃO TOP
ITPC01;SPITU_0003;NÃO TOP
ITPI01;SPITU_0004;NÃO TOP
ITPR01;SPITU_0005;TOP
ITPR02;SPITU_0006;TOP
ITPR03;SPITU_0007;NÃO TOP
ITRD03;SPITU_0022;NÃO TOP
ITRD02;SPITU_0008;NÃO TOP
IT006R;0; NÃO TOP
ITSL01;SPITU_0009;NÃO TOP
ITVL01;SPITU_0010;TOP
ITVP01;SPITU_0011;TOP
IUCR01;SPIBN_0001;NÃO TOP
IUCT01;SPIBN_0002;TOP
IUVT01;SPIBN_0003;NÃO TOP
IVCT01;SPIVR_0001;NÃO TOP
IVRD01;SPIVR_0002;NÃO TOP
IWCT01;SPIRY_0001;NÃO TOP
IXCT01;SPIEO_0001;TOP
IYCT01;SPIER_0001;NÃO TOP
IZCT01;SPIGT_0001;NÃO TOP
JACT01;SPJRI_0001;NÃO TOP
JARD01;SPJRI_0002;NÃO TOP
JARD02;SPJRI_0003;TOP
JARD03;SPJRI_0004;TOP
JBRM01;SPJMB_0001;NÃO TOP
JBTP01;SPJMB_0002;TOP
JCAV01;SPJCI_0001;NÃO TOP
JCBB01;SPJCI_0002;TOP
JCCA01;SPJCI_0003;TOP
JCCG01;SPJCI_0004;TOP
JCJC01;SPJCI_0005;NÃO TOP
JCJP01;SPJCI_0006;NÃO TOP
JCNE01;SPJCI_0007;TOP
JCPM01;SPJCI_0008;NÃO TOP
JCRA01;SPJCI_0009;NÃO TOP
JCSJ01;SPJCI_0010;NÃO TOP
JCVD01;SPJCI_0011;NÃO TOP
JCVP01;SPJCI_0012;NÃO TOP
JCVR01;SPJCI_0013;TOP
JCVX01;SPJCI_0014;NÃO TOP
JDJA01;SPJAD_0001;NÃO TOP
JDJB01;SPJAD_0002;NÃO TOP
JFCT01;SPJOB_0001;NÃO TOP
JGAB01;SPJGU_0001;TOP
JGEF01;SPJGU_0002;TOP
JGJS01;SPJGU_0003;NÃO TOP
JG035S;0; NÃO TOP
JIRD03;SPJCP_0001;TOP
JIRD04;SPJCP_0002;TOP
JJRD01;SPJAY_0001;TOP
JLCT01;SPJLS_0001;TOP
JMRD01;SPJUMR0001;TOP
JNBV01;SPJAI_0002;NÃO TOP
JNCT01;SPJAI_0003;TOP
JNCT02;SPJAI_0004;TOP
JNEC01;SPJAI_0006;NÃO TOP
JNJC01;SPJAI_0007;NÃO TOP
JNJD01;SPJAI_0008;TOP
JNJG01;SPJAI_0009;TOP
JNJP01;SPJAI_0010;NÃO TOP
JNJT01;SPJAI_0011;NÃO TOP
JNMR01;SPJAI_0012;NÃO TOP
JNNJ01;SPJAI_0013;NÃO TOP
JNPC01;SPJAI_0014;TOP
JNPS01;SPJAI_0015;TOP
JNVL01;SPJAI_0017;TOP
JOCT01;SPJAL_0001;NÃO TOP
JORD01;SPJAL_0002;NÃO TOP
JORD02;SPJAL_0003;TOP
JPAA01;SPSRR_0001;TOP
JPCT02;SPSRR_0013;TOP
JPEJ01;SPSRR_0002;NÃO TOP
JPJA01;SPSRR_0003;NÃO TOP
JPJC01;SPSRR_0004;NÃO TOP
JPJE01;SPSRR_0005;TOP
JPJU01;SPSRR_0006;TOP
JPRD01;SPSRR_0007;NÃO TOP
JPRD02;SPSRR_0008;TOP
JPCT03;SPSRR_0027;NÃO TOP
JPVE01;SPSRR_0009;NÃO TOP
JPVT01;SPSRR_0011;TOP
JPVU01;SPSRR_0012;NÃO TOP
JQRD01;SPJUQ_0001;TOP
JRCT01;SPJIU_0001;NÃO TOP
JRDI01;SPJIU_0002;NÃO TOP
JSRD01;SPJQS_0001;TOP
JTRB01;SPJQB_0001;TOP
JTRB02;SPJQB_0002;TOP
JTRB03;SPJQB_0003;NÃO TOP
JUBV02;SPJAU_0008;NÃO TOP
JUMA01;SPJAU_0001;TOP
